lon,lat
836.900045,65.200045
882.99999,64.400005
723.099995,67.249965
836.900045,65.200045
639.694025,69.19346
723.099995,67.249965
579.99382,70.584585
639.694025,69.19346
548.59805,71.316145
579.99382,70.584585
539.79583,71.52128
548.59805,71.316145
426.65,73.79999
539.79583,71.52128
368.19999,75.049975
426.65,73.79999
335.150005,75.74997
368.19999,75.049975
323.94731,76.047515
335.150005,75.74997
249.600005,77.95
323.94731,76.047515
169.500005,80.15003
249.600005,77.95
484.13577,89.538095
539.79583,71.52128
882.99999,64.400005
974.199965,63.74998
975.150015,94.050025
432.84998,95.549965
426.65,73.79999
254.89111,97.33324
323.94731,76.047515
249.600005,77.95
254.89111,97.33324
438.622425,104.270555
484.13577,89.538095
438.622425,104.270555
432.84998,95.549965
872.36738,104.967595
936.800005,96.80004
975.150015,94.050025
872.36738,104.967595
875.89998,78.05004
882.99999,64.400005
858.69999,106.70004
872.36738,104.967595
858.69999,106.70004
836.900045,65.200045
396.300005,116.499995
394.1,107.49998
432.84998,95.549965
805.646135,117.72995
858.69999,106.70004
805.646135,117.72995
794.750025,83.34999
775.35,87.89997
769.350005,83.049965
765.85002,74.14999
186.65,118.949985
254.89111,97.33324
381.23181,120.876025
396.300005,116.499995
368.19999,75.049975
381.23181,120.876025
170.2983,123.224355
186.65,118.949985
170.2983,123.224355
169.500005,80.15003
780.00002,123.75002
805.646135,117.72995
748.513125,129.238225
780.00002,123.75002
748.513125,129.238225
723.099995,67.249965
349.7005,130.033015
381.23181,120.876025
349.7005,130.033015
335.150005,75.74997
975.150015,94.050025
976.362515,136.792565
707.97062,136.89728
739.15,130.9
748.513125,129.238225
441.20002,140.200045
443.80002,133.69999
438.622425,104.270555
967.65003,140.8
976.362515,136.792565
925.39997,133.600045
959.2,121.899985
967.65003,140.8
669.73219,144.005585
690.8,140.200045
707.97062,136.89728
669.73219,144.005585
639.694025,69.19346
576.24998,146.24996
548.59805,71.316145
409.64999,149.25003
441.20002,140.200045
407.299995,150.45004
409.64999,149.25003
396.300005,116.499995
407.299995,150.45004
270.13576,153.139495
349.7005,130.033015
254.89111,97.33324
270.13576,153.139495
615.310145,153.93467
637.09998,149.89996
669.73219,144.005585
612.23769,154.503535
615.310145,153.93467
707.97062,136.89728
716.59999,175.50001
719.449995,175.049975
765.85002,179.50001
748.513125,129.238225
769.449995,193.99996
803.448485,179.598715
765.85002,179.50001
769.449995,193.99996
701.222895,208.63905
756.701805,182.221985
765.85002,179.50001
701.222895,208.63905
669.73219,144.005585
769.449995,193.99996
775.50001,212.400005
780.35002,218.900015
679.01864,219.78836
701.222895,208.63905
722.14999,249.49999
701.222895,208.63905
612.23769,154.503535
579.99382,70.584585
976.362515,136.792565
977.06585,161.58676
967.65003,140.8
977.06585,161.58676
558.25,164.500045
612.23769,154.503535
186.65,118.949985
212.215855,164.907455
407.299995,150.45004
359.281945,165.778065
359.281945,165.778065
349.7005,130.033015
541.44597,167.67874
558.25,164.500045
214.63566,169.25726
270.13576,153.139495
212.215855,164.907455
214.63566,169.25726
858.69999,106.70004
887.15,170.650005
515.959405,172.49975
541.44597,167.67874
484.13577,89.538095
515.959405,172.49975
977.06585,161.58676
977.39353,173.13881
780.00002,123.75002
803.448485,179.598715
473.730375,180.48773
515.959405,172.49975
466.852665,151.50299
473.730375,180.48773
212.215855,164.907455
171.364795,180.77011
171.364795,180.77011
170.2983,123.224355
454.45242,184.13439
473.730375,180.48773
451.505425,184.69181
454.45242,184.13439
441.20002,140.200045
451.505425,184.69181
418.550015,191.25004
451.505425,184.69181
409.64999,149.25003
418.550015,191.25004
936.758325,192.506315
977.39353,173.13881
936.758325,192.506315
919.699955,156.200025
887.15,170.650005
393.4,196.100045
418.550015,191.25004
175.93255,198.371315
197.2,192.04998
